Epoch,Train_Loss,Valid_Loss,Test_Loss,Test_MAE,Test_Corr,Test_Acc_2,Test_F1,Best_Valid_Loss
1,2.6159,0.5482,0.5597,0.5597,0.7482,0.8264,0.8280,inf
2,2.0199,0.5624,0.5618,0.5618,0.7679,0.8360,0.8376,0.5482
3,1.7174,0.5304,0.5458,0.5458,0.7626,0.8124,0.8180,0.5482
4,1.5543,0.5290,0.5456,0.5456,0.7583,0.8234,0.8255,0.5304
5,1.4673,0.5290,0.5375,0.5375,0.7653,0.8311,0.8328,0.5290
6,1.3678,0.5330,0.5467,0.5467,0.7671,0.7849,0.7932,0.5290
7,1.2905,0.5550,0.5601,0.5601,0.7633,0.8079,0.8128,0.5290
8,1.2309,0.5322,0.5447,0.5447,0.7653,0.7952,0.8025,0.5290
9,1.1864,0.5448,0.5478,0.5478,0.7707,0.8407,0.8414,0.5290
10,1.1550,0.5448,0.5564,0.5564,0.7679,0.8012,0.8079,0.5290
11,1.1222,0.5484,0.5608,0.5608,0.7636,0.7744,0.7841,0.5290
12,1.0930,0.5331,0.5419,0.5419,0.7634,0.8017,0.8077,0.5290
13,1.0715,0.5387,0.5458,0.5458,0.7630,0.7967,0.8044,0.5290
14,1.0500,0.5326,0.5458,0.5458,0.7627,0.8184,0.8225,0.5290
15,1.0314,0.5485,0.5465,0.5465,0.7640,0.8171,0.8218,0.5290
