Epoch,Train_Loss,Valid_Loss,Test_Loss,Test_MAE,Test_Corr,Test_Acc_2,Test_F1,Best_Valid_Loss
1,3.1962,1.3740,1.4940,1.4940,0.2207,0.4490,0.2799,inf
2,2.4973,1.4695,1.7340,1.7340,0.4061,0.4475,0.2767,1.3740
3,2.4745,1.1892,1.3318,1.3318,0.5462,0.5802,0.5330,1.3740
4,2.2369,0.9255,1.0445,1.0445,0.6999,0.7507,0.7511,1.1892
5,1.9645,0.9218,0.8478,0.8478,0.7442,0.8047,0.7994,0.9255
6,1.7975,0.8049,0.7849,0.7849,0.7600,0.8149,0.8129,0.9218
7,1.7267,0.9580,1.1171,1.1171,0.7359,0.7624,0.7597,0.8049
8,1.7288,0.7421,0.7551,0.7551,0.7769,0.8251,0.8234,0.8049
9,1.6071,0.7516,0.8351,0.8351,0.7749,0.8134,0.8139,0.7421
10,1.5638,0.7522,0.7650,0.7650,0.7835,0.8192,0.8187,0.7421
11,1.5221,0.7386,0.7565,0.7565,0.7835,0.8294,0.8274,0.7421
12,1.5140,0.7205,0.7477,0.7477,0.7880,0.8251,0.8227,0.7386
13,1.4677,0.7799,0.8428,0.8428,0.7804,0.8003,0.8008,0.7205
14,1.4497,0.7268,0.7246,0.7246,0.7953,0.8411,0.8389,0.7205
15,1.4288,0.7155,0.7906,0.7906,0.7838,0.8047,0.8052,0.7205
16,1.3973,0.7139,0.7413,0.7413,0.7908,0.8309,0.8305,0.7155
17,1.3777,0.6937,0.7368,0.7368,0.7932,0.8236,0.8240,0.7139
18,1.3593,0.7420,0.7565,0.7565,0.7876,0.8265,0.8257,0.6937
19,1.3563,0.7336,0.7881,0.7881,0.7813,0.8076,0.8081,0.6937
20,1.3387,0.7149,0.7708,0.7708,0.7760,0.8149,0.8152,0.6937
21,1.3335,0.7167,0.7512,0.7512,0.7813,0.8236,0.8232,0.6937
22,1.3083,0.7161,0.7370,0.7370,0.7934,0.8222,0.8217,0.6937
23,1.3124,0.7531,0.7659,0.7659,0.7923,0.8294,0.8290,0.6937
24,1.3104,0.7381,0.7528,0.7528,0.7843,0.8236,0.8219,0.6937
25,1.2942,0.7435,0.7928,0.7928,0.7821,0.8047,0.8052,0.6937
26,1.2771,0.7186,0.7194,0.7194,0.7904,0.8222,0.8195,0.6937
27,1.2682,0.7155,0.7577,0.7577,0.7851,0.8149,0.8151,0.6937
